老千 ,"['崔东勋', '崔东勋', '许英万', '曹承佑', '金惠秀', '白润植', '柳海真', '李水京', '金应洙', '金允石', '剧情', '犯罪']","['崔东勋', '许英万']","['曹承佑', '金惠秀', '白润植', '柳海真', '李水京', '金应洙', '金允石']","['剧情', '犯罪']",['制片国家/地区: 韩国'],['语言: 韩语'],['上映日期: 2006-09-28'],['又名: 泰沙大豪客(港) / The War of Flower / Tazza: the High Rollers'],"
                            ",['ftp://6vdy:6vdy@vip.36ys.com:2116/【6V电影www.6vdy.com】老千BD中字1024x576无水印版.rmvb']
断裂 ,"['布拉德·安德森', '阿兰·B·麦克埃尔罗伊', '萨姆·沃辛顿', '莉莉·拉贝', '斯蒂芬·托布罗斯基', '阿卓艾·安多', '德里克·詹姆斯·特拉普', '威尔·沃伊托维希', '埃里克·阿塔瓦尔', '克里斯·西格森', '埃内斯托·格里菲思', '查德·布鲁斯', '吉姆·科比', '洛丽·帕帕佐普洛斯', 'Stephanie Sy', 'Lucy Capri', 'Lauren Cochrane', 'Crystal Magian', 'Dennis Scullard', 'Natalie Malaika', 'Megan Best', '惊悚']",['阿兰·B·麦克埃尔罗伊'],"['萨姆·沃辛顿', '莉莉·拉贝', '斯蒂芬·托布罗斯基', '阿卓艾·安多', '德里克·詹姆斯·特拉普', '威尔·沃伊托维希', '埃里克·阿塔瓦尔', '克里斯·西格森', '埃内斯托·格里菲思', '查德·布鲁斯', '吉姆·科比', '洛丽·帕帕佐普洛斯', 'Stephanie Sy', 'Lucy Capri', 'Lauren Cochrane', 'Crystal Magian', 'Dennis Scullard', 'Natalie Malaika', 'Megan Best']",['惊悚'],['制片国家/地区: 美国'],['语言: 英语'],['上映日期: 2019-10-11(美国)'],['又名: 断线(台) / 曲折(港)'],"
                            雷·门罗（萨姆·沃辛顿饰）是一个好心但不堪重负的居家男人。在与岳父岳母度过一个紧张的假日周末后，雷带着妻子乔安妮（莉莉·拉贝饰）和女儿佩里（露西·卡普里饰）开车回家，途中驶入一个休息区。然而屋漏偏逢阴雨夜，佩里在事故中受伤。一家人急忙带着她来到附近一个急诊室，这里的工作人员看似有些意图可疑。被送去做进一步检测后，佩里与乔安妮失踪了，他们所有的访问记录也消失不见。雷的担忧成了真：他必须争分夺秒寻找家人，并搞清他们究竟遭遇了什么。","['magnet:?xt=urn:btih:JRS7IDHDAIRUF24E7OQHL7GJRKM3QJAM', 'ed2k://|file|断裂.1080p.HD中英双字[66影视www.66Ys.Co].mp4|2375720763|B5D19E4BB8934A428B9ABF051FF56149|h=SNTR4YLOENV2ZU5EJYE4HMH3474KBUQA|/']"
印度有嘻哈 ,"['卓娅·阿赫塔尔', '卓娅·阿赫塔尔', '里马·卡蒂', 'Vasundhara Koshy', 'Vijay Maurya', '兰维尔·辛格', '阿莉雅·布哈特', '卡琪·柯切林', '谢巴·查达', '乔蒂·苏巴', '库布拉·萨特', '索纳利·萨查德夫', 'Siddhant Chaturvedi', '维贾伊·拉齐', 'Amruta Subhash', 'Vijay Varma', 'Ikhlaque Khan', '剧情', '音乐']","['卓娅·阿赫塔尔', '里马·卡蒂', 'Vasundhara Koshy', 'Vijay Maurya']","['兰维尔·辛格', '阿莉雅·布哈特', '卡琪·柯切林', '谢巴·查达', '乔蒂·苏巴', '库布拉·萨特', '索纳利·萨查德夫', 'Siddhant Chaturvedi', '维贾伊·拉齐', 'Amruta Subhash', 'Vijay Varma', 'Ikhlaque Khan']","['剧情', '音乐']",['制片国家/地区: 印度'],['语言: 印地语'],['上映日期: 2019-02-14(印度)'],['又名: 地球村印度 / 街头男孩 / 街道男孩 / 沟壑男孩 / Gully Boy'],"
                            影片讲述一个生在印度贫民区的22岁的少年，违背父亲希望他成为白领的期待，投入说唱事业，并收获了爱情。生于孟买贫民区的青年，除了要应付大学生涯的最后一年，还要兼职养家和承受家庭压力。幸好他有青梅竹马的女友支持，以及借着饶舌音乐抒发冤屈，让HipHop打开了他的世界。主角和友人的歌曲得到靓女歌手Sky的注意，继而合作新曲，并迅即成为网上热话。他的歌词，精辟「贴地」，道尽年轻人面对的社会问题。但初尝成功的他，又能否再进一步，将梦想化为现实？本片风靡印度和全球各地观众，延续「打死不离」的印度热血精神。","['magnet:?xt=urn:btih:55LJ6S2Y6TBLEIUI2LKYESMO5H3RFKTO', 'ed2k://|file|印度有嘻哈.1080p.HD中英双字[66影视www.66Ys.Co].mp4|2429667496|337138AA6C69094275965E33133528EC|h=RWOGWMZC33TQEEKWJ3QUDX4QVYBYLOWD|/']"
在黑暗中讲述的恐怖故事 ,"['安德烈·艾弗道夫', '约翰·奥古斯特', '马库斯·邓斯坦', '丹·哈格曼', '凯文·哈格曼', '帕特里克·梅尔顿', '艾尔文·史瓦兹', '吉尔莫·德尔·托罗', '佐伊·玛格丽特·科莱蒂', '迈克尔·加尔扎', '加布里埃尔·拉什', '吉尔·贝罗斯', '哈维尔·博泰特', '迪恩·诺里斯', '洛莱妮·图桑特', '奥斯汀·艾布拉姆斯', '马克·斯达格', '斯蒂芬妮·贝尔丁', '简·莫凡特', '恐怖']","['约翰·奥古斯特', '马库斯·邓斯坦', '丹·哈格曼', '凯文·哈格曼', '帕特里克·梅尔顿', '艾尔文·史瓦兹', '吉尔莫·德尔·托罗']","['佐伊·玛格丽特·科莱蒂', '迈克尔·加尔扎', '加布里埃尔·拉什', '吉尔·贝罗斯', '哈维尔·博泰特', '迪恩·诺里斯', '洛莱妮·图桑特', '奥斯汀·艾布拉姆斯', '马克·斯达格', '斯蒂芬妮·贝尔丁', '简·莫凡特']",['恐怖'],['制片国家/地区: 美国'],['语言: 英语'],['上映日期: 2019-08-09(美国)'],['又名: 讲鬼故(港) / 在黑暗中说的鬼故事(台) / 黑暗恐怖故事'],"
                            安德烈·艾弗道夫([无名女尸])接替吉尔莫·德尔·托罗执导[在黑暗中讲述的恐怖故事]，丹·哈格曼、凯文·哈格曼操刀剧本，CBS负责影片制作。而托罗将担任制片人。该片根据艾文·施瓦兹的同名小说改编，故事围绕一群年轻人展开，小镇频发死亡事件，他们必须找出背后的秘密。本片明年夏天开拍。","['magnet:?xt=urn:btih:JOKCM3LYWHHEIMSQS62YCLXTWLCWLZBO', 'ed2k://|file|在黑暗中讲述的恐.怖故.事.1080p.HD中英双字[66影视www.66Ys.Co].mp4|4032128322|2271D43D3D0F0AADF2A0DAF74AA6659B|h=3QCR2VWJUPXY77UX5R6R7VUQYNAGYAWH|/']"
朽木 ,"['丹尼尔·米纳汉', '大卫·米尔契', '伊恩·麦柯肖恩', '蒂莫西·奥利芬特', '金·迪肯斯', '布拉德·道里夫', '莫莉·帕克', '肖恩·布里吉格斯', '罗宾·薇格特', '安娜·冈', '葆拉·马尔科姆森', '杰弗瑞·琼斯', '托尼·库兰', '约翰·浩克斯', '杰拉尔德·麦克雷尼', 'W·厄尔·布朗', '威廉·桑德森', '戴顿·考利', '杰德·佩蒂约翰', 'Geri Jewell', '基内·扬', 'Franklyn Ajaye', 'Jerry Cantrell', '伊戈·米基塔斯', '范·埃佩尔森', '哈尔·戴恩', '西部']",['大卫·米尔契'],"['伊恩·麦柯肖恩', '蒂莫西·奥利芬特', '金·迪肯斯', '布拉德·道里夫', '莫莉·帕克', '肖恩·布里吉格斯', '罗宾·薇格特', '安娜·冈', '葆拉·马尔科姆森', '杰弗瑞·琼斯', '托尼·库兰', '约翰·浩克斯', '杰拉尔德·麦克雷尼', 'W·厄尔·布朗', '威廉·桑德森', '戴顿·考利', '杰德·佩蒂约翰', 'Geri Jewell', '基内·扬', 'Franklyn Ajaye', 'Jerry Cantrell', '伊戈·米基塔斯', '范·埃佩尔森', '哈尔·戴恩']",['西部'],['制片国家/地区: 美国'],['语言: 英语'],['上映日期: 2019-05-31(美国)'],['IMDb链接: tt4943998'],"
                            HBO正式宣布电影版[朽木]将于10月开机，有望明春播出。去年便已传出《朽木》编剧大卫·米尔契已完成了电影版剧本。剧版于2004年至2006年播出了三季，但粉丝始终没有迎来最终的大结局，该剧故事围绕美国疆界之外的一个矿镇展开。此前有消息称原剧众卡司均有望回归，包括伊恩·麦柯肖恩、蒂莫西·奥利芬特、约翰·浩克斯、莫莉·帕克、布拉德·道里夫等。","['ed2k://|file|朽木.1080p.BD中英双字[66影视www.66Ys.Co].mp4|1733346632|FFF99AC3DFBDA2EF0D2F396B76B307DF|h=SMWIVTT5ZXWBM2AXZYK2JRGAN7HBP33R|/', 'magnet:?xt=urn:btih:SFEBPFENYAX7RYDYBXDYWBQDK7NYA7HB', 'magnet:?xt=urn:btih:Y3TWMZTELSTW72NF63XTDJNRAENYYJQ5', 'http://bt.pp63.org/2019/朽木.1080p.HD中字.torrent', 'ed2k://|file|朽木.1080p.HD中字[最新电影www.66e.cc].mp4|4540640689|A5D956002BDF014C3DC5A6ABD047C3D7|h=P447EA53CG6NQIQRP25FZR2JLG7QU7CW|/']"
自卫的艺术 ,"['莱利·斯特恩斯', '莱利·斯特恩斯', '杰西·艾森伯格', '亚历桑德罗·尼沃拉', '伊莫琴·普茨', '菲利普·安德烈·博特略', '勒兰德·奥瑟', '乔希·法德姆', '杰森·伯基', '大卫·泽尔纳', '戴维·约翰逊', 'Steve Terada', 'Dallas Edwards', '喜剧']",['莱利·斯特恩斯'],"['杰西·艾森伯格', '亚历桑德罗·尼沃拉', '伊莫琴·普茨', '菲利普·安德烈·博特略', '勒兰德·奥瑟', '乔希·法德姆', '杰森·伯基', '大卫·泽尔纳', '戴维·约翰逊', 'Steve Terada', 'Dallas Edwards']",['喜剧'],['制片国家/地区: 美国'],['语言: 英语'],['上映日期: 2019-03-10(西南偏南电影节) / 2019-07-12(美国)'],['又名: 自卫艺术'],"
                            Bleecker Street购得莱利·斯特恩斯执导的黑色喜剧新片《自卫艺术》 的全球发行权，杰西·艾森伯格、伊莫珍·波茨、亚历桑德罗·尼沃拉主演，艾森伯格饰演一个在街上莫名遭遇攻击的倒霉孩子，后加入柔道训练学校跟着极有魅力又充满神秘的师傅(尼沃拉饰)学习自卫防御术，揭开了充满兄弟会情谊、暴力、超男子主义的邪恶世界的面纱，波茨扮演的女主角正努力奋斗想取得一席地位。该片已于周一在肯塔基开拍。","['magnet:?xt=urn:btih:RQ4YWUIYBKTMBYTYEX3YMSWJSD3NC5E3', 'ed2k://|file|自卫艺术.1080p.BD中英双字[66影视www.66Ys.Co].mp4|2031173527|B8710D27DC430172F6B5C219F5F5719D|h=7OEFKYLM3QH2CJVPDGY6ZISI7N6C633B|/']"
玩命贴图 ,"['Wei-Heng Chung', '陈能明', 'Xin-Yi Su', '任容萱', '周孝安', '陈晓东', '卞庆华', '曾子馀', '成语荞', '于乐诚', '乙乐', '徐谋俊', '马力欧', '李得全', '惊悚', '恐怖']","['陈能明', 'Xin-Yi Su']","['任容萱', '周孝安', '陈晓东', '卞庆华', '曾子馀', '成语荞', '于乐诚', '乙乐', '徐谋俊', '马力欧', '李得全']","['惊悚', '恐怖']",['制片国家/地区: 中国台湾'],['语言: 汉语普通话'],['上映日期: 2019-01-11(中国台湾)'],['又名: Karma'],"
                            ","['magnet:?xt=urn:btih:CZLVHBFDFQ7QEW6RWWARTDVOCUCI4Y42', 'ed2k://|file|玩命贴图.720p.HD中字[66影视www.66Ys.Co].mp4|1669893422|E99C2E7F7F6796B89FA894B55EAD6ED7|h=GQEHL6QKWK6AMUULHPOSD7XD3YCJAI2C|/']"
我的一级兄弟 ,"['陆相孝', '陆相孝', '申河均', '李光洙', '李絮', '朴哲民', '权海孝', '吉海妍', '金重基', '崔光一', '禹志贤', '喜剧']",['陆相孝'],"['申河均', '李光洙', '李絮', '朴哲民', '权海孝', '吉海妍', '金重基', '崔光一', '禹志贤']",['喜剧'],['制片国家/地区: 韩国'],['语言: 韩语'],['上映日期: 2019-05-01(韩国)'],['又名: 完美搭档(台) / 我的特别兄弟 / My Special Brother / Inseparable Bros'],"
                            申河均、李光洙将加盟喜剧温情片[我的一级兄弟]，该片由陆相孝执导，讲述肢体残疾一级的男子(申河均饰)与精神障碍一级的男子(李光洙饰)相遇后发生的故事。影片计划5月初开拍。","['magnet:?xt=urn:btih:SJQE24SJTQC65G7RN6QBMMN5GT5FHBEK', 'ed2k://|file|我的一级兄弟.720p.HD中字[66影视www.66Ys.Co].mp4|3133325568|7ACA2BDA7756529D4072D736A67B145A|h=CYXNWEFTAVT7ARLHHDB47ERD6RIWM4OA|/']"
花椒之味 ,"['麦曦茵', '麦曦茵', '郑秀文', '赖雅妍', '李晓峰', '钟镇涛', '任贤齐', '刘瑞琪', '吴彦姝', '刘德华', '剧情', '家庭']",['麦曦茵'],"['郑秀文', '赖雅妍', '李晓峰', '钟镇涛', '任贤齐', '刘瑞琪', '吴彦姝', '刘德华']","['剧情', '家庭']",['制片国家/地区: 中国香港 / 中国大陆'],['语言: 汉语普通话 / 粤语'],['上映日期: 2019-09-06(中国大陆) / 2019-09-12(香港)'],['又名: 心灵火锅 / 我的爱如此麻辣 / Fagara'],"
                            夏如树（郑秀文饰）有一天突然得知父亲（钟镇涛饰）死讯，并由此发现原来自己在台北、重庆两地各有一个同父异母的妹妹如枝（赖雅妍饰）及如果（李晓峰饰）。来自三个不同地域、性格迥异的三姐妹，在父亲的葬礼上首次碰面，明明陌生却有着血缘的牵绊，同样面对着父母离异的创口与生活的惶惑；如树毅然决定继续经营父亲留下的火锅店，获得重新认识父亲的契机。三姐妹因上一代人的爱恨纠缠，在破碎家庭关系中成长，也因此相遇相知，互相依存，重拾修复关系的勇气，成长创口得以疗愈。","['magnet:?xt=urn:btih:HFCPXFMV5QJKXSMFT2N62DFGJFGWPD7V', 'ed2k://|file|花椒之味.1080p.国粤双语.HD中字无水印[66影视www.66Ys.Co].mp4|1745659696|39390A8CEE9D3C5D67B0341DCB2FB406|h=T4RAQP6BPTTHSGMAYEK5GW6R7ZURVBNO|/']"
神探蒲松龄 ,"['严嘉', '刘伯翰', '简文', '成龙', '阮经天', '钟楚曦', '林柏宏', '林鹏', '乔杉', '潘长江', '苑琼丹', '刘智福', '刘智满', '刘智堂', '姜嫄', '喜剧', '动作', '奇幻']","['刘伯翰', '简文']","['成龙', '阮经天', '钟楚曦', '林柏宏', '林鹏', '乔杉', '潘长江', '苑琼丹', '刘智福', '刘智满', '刘智堂', '姜嫄']","['喜剧', '动作', '奇幻']",['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-02-05(中国大陆)'],['又名: 神探蒲松龄之兰若仙踪 / The Knight of Shadows: Between Yin and Yang / Knight of Shadows: Walker Between Halfworlds'],"
                            一代文豪蒲松龄（成龙饰）执阴阳判化身神探，与捕快严飞（林柏宏饰）联手追踪金华镇少女失踪案。蒲松龄带领“猪狮虎”“屁屁”“忘忧”“千手”等一众小妖深入案情，在找寻真相的过程中，牵扯出一段旷世奇恋。","['magnet:?xt=urn:btih:FNNEZN3ED2EARN56FIPO5DO4SWXO5G4R', 'ed2k://|file|stpsl.1080p.国粤双语.HD中字[最新电影www.66ys.tv].mp4|2200813801|1AE0BEE823EC977230219AF6799B30EB|h=YKJP3ES5VBWJNJQ34EV7IZRUSSJPWIV6|/', 'magnet:?xt=urn:btih:CLIYZ7GWLGNP6BCFOZVMYTFCGHCQEV3T', 'ed2k://|file|神探蒲松龄.1080p.BD国语中字[66影视www.66Ys.Co].mp4|2123294650|8938E447F0EBB1B511477CF14E518628|h=IYS5AFKTGNN3RBOWGHQOWNEE4A6DZRVV|/']"
拾芳 ,"['高志森', '梁柏豪', '芳心荟', '徐咏珊', '许晋邦', '朱智立', '胡杏儿', '郭羡妮', '林德信', '方惠盈', '黄容杰', '曾江', '吴耀汉', '邵音音', '韩马利', '刘雅丽', '江欣燕', '恭硕良', '龚慈恩', '田启文', '邓建明', '郑子诚', '杨英伟', '余慕莲', '曾志伟', '传记']","['芳心荟', '徐咏珊', '许晋邦', '朱智立']","['胡杏儿', '郭羡妮', '林德信', '方惠盈', '黄容杰', '曾江', '吴耀汉', '邵音音', '韩马利', '刘雅丽', '江欣燕', '恭硕良', '龚慈恩', '田启文', '邓建明', '郑子诚', '杨英伟', '余慕莲', '曾志伟']",['传记'],['制片国家/地区: 中国香港'],['语言: 粤语'],['上映日期: 2019-01-03(中国香港)'],['又名: 朝花夕拾.芳华绝代'],"
                            ","['magnet:?xt=urn:btih:AWBCOX7MLNFOSG465A3RFVRZTYQHH74V', 'ed2k://|file|拾芳.1080p.BD国语中字[66影视www.66Ys.Co].mp4|1233957970|C3C16481EF1A47E2A44F4166347B4EB1|h=PB2NLGKZJ67UN7XZPX4ZYDANQIRF6ANB|/']"
夜半歌声 ,"['于仁泰', '司徒慧焯', '于仁泰', '黄百鸣', '张国荣', '吴倩莲', '黄磊', '刘琳', '司徒慧焯', '刘天池', '鲍方', '郭追', '王冰', '剧情', '爱情', '惊悚', '音乐']","['司徒慧焯', '于仁泰', '黄百鸣']","['张国荣', '吴倩莲', '黄磊', '刘琳', '司徒慧焯', '刘天池', '鲍方', '郭追', '王冰']","['剧情', '爱情', '惊悚', '音乐']",['制片国家/地区: 中国香港 / 中国大陆 / 新加坡'],['语言: 汉语普通话'],['上映日期: 1995-07-22(中国香港)'],['又名: 新夜半歌声 / The Phantom Lover'],"
                            ","['magnet:?xt=urn:btih:XQ7SHLWXH2TDA4AAXUYSEV7OTURPG44E', 'ed2k://|file|你失去的部分.1080p.BD中英双字[66影视www.66Ys.Co].mkv|1746887299|409958EE5C04C8BAFF1F0A29C3F74849|h=6VPQ6K7DAHKV3F35YJBGISZMLDKO7MEO|/']"
谍海计中计 ,"['罗杰·唐纳森', 'Roger Towne', '科特·维莫', 'Mitch Glazer', '阿尔·帕西诺', '科林·法瑞尔', '布丽姬·穆娜', '盖布瑞·马赫特', '剧情', '动作', '惊悚']","['Roger Towne', '科特·维莫', 'Mitch Glazer']","['阿尔·帕西诺', '科林·法瑞尔', '布丽姬·穆娜', '盖布瑞·马赫特']","['剧情', '动作', '惊悚']",['制片国家/地区: 美国'],['语言: 英语 / 波斯语 / 俄语'],['上映日期: 2003-03-21(中国大陆) / 2003-01-25(Febio电影节) / 2003-01-31(美国)'],['又名: 特工新兵 / C.I.A. 追缉令 / 惊天杀局 / 紧急特训 / 新兵征募'],"
                            詹姆斯（柯林·法瑞尔 Colin Farrell 饰）以优等生的身份顺利通过中情局的初期审查，和其它精英学子一起进入训练基地接受特种训练。中情局派出了最有经验的王牌特工沃特（阿尔·帕西诺 Al Pacino 饰）来训练这群年轻人。在近乎冷血的各式各样的残酷训练当中，表现最佳的詹姆斯却莫名被淘汰出局。在新人中，女学员莱拉（布丽姬·穆娜 Bridget Moynahan 饰）引起了上层的怀疑。被怀疑是个敌对情报组织派来的卧底。于是，在训练中和莱拉关系甚好的詹姆斯被悄悄安排了反卧底工作。詹姆斯开始刻意接近莱拉，打探情况。但随着两个人的相处，他竟对不知道敌友的莱拉情愫。在国家的荣誉与个人的情感面前，詹姆斯那苦恼的心，又要如何去抉择呢？","['magnet:?xt=urn:btih:FUZR3RHM26SHXQU6URDKTAYNJKDMTKIG', 'ed2k://|file|谍海计中计.1080p.国英双语.BD中英双字[66影视www.66Ys.Co].mp4|1895505975|387FD85015BE36F45BAD7D8991CCEC8D|h=EUTEY5TRV6HS57IIQO5LLP7M2MMJ2J6G|/']"
金陵神捕 ,"['韦恩', '怪异君', '张溪原', '郑明洋', '王玮', '悬疑', '古装']","['怪异君', '张溪原']","['郑明洋', '王玮']","['悬疑', '古装']",['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-09-20(中国大陆)'],['又名: 金陵神捕之伏竹村之谜'],"
                            明，冬月初二，伏竹村突发大火，村中一位长老意外丧生。六扇门新晋女捕快杨梦言奉命前往伏竹村查案，却未想村内怪事连连，又有二人死于非命，而她，成了新凶案的最大嫌疑人…",['ed2k://|file|金陵神捕.1080p.HD国语中字[66影视www.66Ys.Co].mp4|1656981084|4E281BA4B25435E33F27A106EA93EAFD|h=Q4MDDZVZOAQHX7MN2L6JETB4SDF4Q5ZH|/']
你失去的部分 ,"['克里斯托弗·坎特维尔', '达伦·莱姆克', '玛丽·伊丽莎白·温斯特德', '亚伦·保尔', '斯科特·麦克纳里', '克里斯汀·哈里斯', '吴靖萱', '洛根·克里伦', '洛丽·帕帕佐普洛斯', '达西·菲尔', '德里克·詹姆斯·特拉普', 'Angela Narth', 'Greyden Bohotchuk', 'Danny Murphy', 'Steve Pacaud', 'Aidan Ritchie', 'Stefanie Wiens', 'Charlee Park', 'Paul Kochanski', '剧情', '动作', '惊悚']",['达伦·莱姆克'],"['玛丽·伊丽莎白·温斯特德', '亚伦·保尔', '斯科特·麦克纳里', '克里斯汀·哈里斯', '吴靖萱', '洛根·克里伦', '洛丽·帕帕佐普洛斯', '达西·菲尔', '德里克·詹姆斯·特拉普', 'Angela Narth', 'Greyden Bohotchuk', 'Danny Murphy', 'Steve Pacaud', 'Aidan Ritchie', 'Stefanie Wiens', 'Charlee Park', 'Paul Kochanski']","['剧情', '动作', '惊悚']",['制片国家/地区: 加拿大'],['语言: 英语'],['上映日期: 2019-10-04(美国)'],['IMDb链接: tt4827922'],"
                            一个年轻的聋哑男孩(Danny Murphy饰)与一名逃到他们家农场废弃谷仓避难的的刑事逃意外成为朋友，当两人关系进一步加深、当局调查接近后，男孩需要决定是继续拥护他还是站在正义这一边。",['ed2k://|file|你失去的部分.1080p.BD中英双字[66影视www.66Ys.Co].mkv|1746887299|409958EE5C04C8BAFF1F0A29C3F74849|h=6VPQ6K7DAHKV3F35YJBGISZMLDKO7MEO|/']
